Date,Open,High,Low,Close,Volume
2024-09-11,0.539462,0.542267,0.523116,0.535148,190370266.69259
2024-09-12,0.535148,0.584865,0.533448,0.564855,410616781.3284
2024-09-13,0.565026,0.574681,0.555756,0.572629,264395823.48864
2024-09-14,0.572929,0.596913,0.570622,0.596607,293696783.52565
2024-09-15,0.596507,0.599214,0.574575,0.578806,150048156.44708
2024-09-16,0.578806,0.591399,0.559676,0.584089,333896759.97859
2024-09-17,0.584089,0.593447,0.578859,0.587153,232713347.38056
2024-09-18,0.587153,0.587153,0.562021,0.578917,258113032.55516
2024-09-19,0.578817,0.594643,0.578817,0.587365,286707510.81414
2024-09-20,0.587365,0.592912,0.57636,0.586853,286462646.94916
2024-09-21,0.586853,0.612849,0.580094,0.59656,223002885.02606
2024-09-22,0.59666,0.605279,0.5824,0.5826,158054588.72971
2024-09-23,0.5826,0.595846,0.578046,0.586577,191213253.99618
2024-09-24,0.586571,0.592453,0.58139,0.59037,172743664.99418
2024-09-25,0.59037,0.595676,0.582901,0.5854,177558551.00881
2024-09-26,0.5854,0.596342,0.576162,0.591959,250642872.29026
2024-09-27,0.591959,0.597303,0.582535,0.587606,228928686.79837
2024-09-28,0.587706,0.625963,0.585676,0.617068,623839999.05846
2024-09-29,0.616877,0.664799,0.606971,0.644842,582185163.3139
2024-09-30,0.644842,0.654613,0.616695,0.623101,510923550.12795
2024-10-01,0.6234,0.634099,0.578638,0.601744,717817160.95852
2024-10-02,0.601544,0.606594,0.53726,0.540959,630708609.25001
2024-10-03,0.540959,0.547841,0.507029,0.525037,912262735.27461
2024-10-04,0.524937,0.538814,0.514912,0.534495,392683905.52851
2024-10-05,0.534595,0.535152,0.526089,0.528921,138399380.05889
2024-10-06,0.529,0.537103,0.527968,0.53011,96952329.535071
2024-10-07,0.53011,0.545747,0.53001,0.538838,235742824.72184
2024-10-08,0.538838,0.538938,0.521203,0.531817,193830179.42217
2024-10-09,0.531717,0.534269,0.520636,0.525737,168923431.89834
2024-10-10,0.525737,0.544301,0.522277,0.529927,300160271.09306
2024-10-11,0.530023,0.541659,0.526731,0.540024,217816318.54688
2024-10-12,0.54013,0.543042,0.53507,0.539538,96933978.091255
2024-10-13,0.539438,0.540038,0.525137,0.529383,106223344.77939
2024-10-14,0.529553,0.55199,0.527978,0.544913,228501842.12817
2024-10-15,0.544913,0.555467,0.531462,0.539865,340823373.76471
2024-10-16,0.539865,0.553772,0.537514,0.54869,222810919.22382
2024-10-17,0.548585,0.566424,0.541721,0.545404,397015775.84451
2024-10-18,0.545404,0.552862,0.539568,0.545729,257417591.06075
2024-10-19,0.545829,0.54979,0.540551,0.541675,113993919.30004
2024-10-20,0.541675,0.545542,0.536593,0.54412,119046045.05245
2024-10-21,0.54422,0.560435,0.540884,0.54657,346511508.64864
2024-10-22,0.546645,0.54936,0.52873,0.533616,266305565.57876
2024-10-23,0.533715,0.536314,0.511178,0.522845,246078380.3192
2024-10-24,0.522845,0.533421,0.522724,0.531675,206714494.85603
2024-10-25,0.531787,0.533069,0.508553,0.517167,232351449.56956
2024-10-26,0.517167,0.517267,0.48785,0.512628,265773801.39562
2024-10-27,0.512727,0.517206,0.510136,0.515987,85242633.08648
2024-10-28,0.515887,0.521283,0.511035,0.519336,194137003.13134
2024-10-29,0.519636,0.530415,0.518158,0.527336,271077757.86872
2024-10-30,0.527436,0.528341,0.519271,0.523927,215998254.61346
2024-10-31,0.523832,0.524337,0.502682,0.510131,249383100.76902
2024-11-01,0.509931,0.523876,0.502057,0.511047,365912535.22948
2024-11-02,0.511047,0.515755,0.506208,0.509652,100830071.54429
2024-11-03,0.509657,0.510931,0.491598,0.503204,257820073.15331
2024-11-04,0.503099,0.514199,0.495343,0.502907,236962728.91066
2024-11-05,0.502907,0.518657,0.501379,0.513838,246082077.5122
2024-11-06,0.513838,0.547128,0.512444,0.546027,581775036.84305
2024-11-07,0.546127,0.578495,0.538166,0.553477,497022883.57289
2024-11-08,0.553571,0.560347,0.54186,0.55376,345793044.25736
2024-11-09,0.55386,0.556923,0.543863,0.555161,260347605.94319
2024-11-10,0.555161,0.618854,0.554661,0.59023,1239040077.6264
2024-11-11,0.59043,0.634196,0.570745,0.618705,1031250286.4701
2024-11-12,0.618805,0.73995,0.597609,0.715965,2692987435.5098
2024-11-13,0.715765,0.748853,0.641671,0.69206,1810103382.4657
2024-11-14,0.69186,0.847176,0.682916,0.793595,2082726754.3667
2024-11-15,0.793895,0.927271,0.756338,0.89897,2686402282.9842
2024-11-16,0.898469,1.2676,0.878063,1.10639,4559625273.9138
2024-11-17,1.10739,1.16066,1.00345,1.06664,2247453942.112
2024-11-18,1.06654,1.1861,1.05181,1.12591,1727938782.0875
2024-11-19,1.12581,1.1482,1.07028,1.09197,987464291.1036
2024-11-20,1.09098,1.15124,1.06259,1.11197,995041202.54512
2024-11-21,1.11217,1.23991,1.07875,1.20593,1389916324.8881
2024-11-22,1.20533,1.50022,1.19894,1.46742,2623329525.8002
2024-11-23,1.46751,1.63085,1.42291,1.4848,1514460032.4486
2024-11-24,1.4844,1.51451,1.28119,1.44424,1132142749.2988
2024-11-25,1.44404,1.54049,1.35679,1.41965,1099131265.1712
2024-11-26,1.41974,1.45902,1.28443,1.39027,845813976.39869
2024-11-27,1.38887,1.52173,1.35197,1.47798,721599615.58697
2024-11-28,1.47778,1.50878,1.43097,1.50878,434949879.61993
2024-11-29,1.50898,1.77872,1.50876,1.75518,1305324983.2199
2024-11-30,1.75558,1.95808,1.75536,1.91266,1543017748.4766
2024-12-01,1.91296,2.19975,1.84924,2.17121,1379118114.3374
2024-12-02,2.17101,2.86999,2.14699,2.75389,3094251929.0096
2024-12-03,2.75339,2.9091,2.29488,2.60722,2246413045.8826
2024-12-04,2.60719,2.68023,2.316,2.375,1277569842.3952
2024-12-05,2.3747,2.48764,2.17837,2.29013,1243687654.4631
2024-12-06,2.28883,2.46712,2.223,2.4505,766986549.83453
2024-12-07,2.4508,2.57283,2.38775,2.54478,690307389.61988
2024-12-08,2.54418,2.64793,2.48694,2.59585,615577723.13883
2024-12-09,2.59505,2.62304,2.03828,2.21086,985062655.09017
2024-12-10,2.21286,2.41832,1.90333,2.33474,1572864438.7353
2024-12-11,2.33574,2.47078,2.23199,2.43419,904172104.77663
2024-12-12,2.43479,2.48492,2.31064,2.35124,652554695.75798
2024-12-13,2.35144,2.47878,2.28522,2.41586,529796899.46652
2024-12-14,2.41556,2.53097,2.35477,2.39948,523333134.39556
2024-12-15,2.39968,2.44812,2.36754,2.4008,329405848.91905
2024-12-16,2.4007,2.58683,2.33424,2.50558,738830475.8488
2024-12-17,2.50318,2.72722,2.44101,2.55344,925186264.10219
2024-12-18,2.55344,2.59139,2.2545,2.34744,657669793.18258
2024-12-19,2.34746,2.42994,2.15729,2.28172,666465660.58878
2024-12-20,2.28204,2.35182,1.95984,2.28467,832172866.0317
2024-12-21,2.28367,2.38446,2.19271,2.23598,390652054.97671
2024-12-22,2.23438,2.29158,2.15853,2.20777,281701478.5595
2024-12-23,2.20787,2.27553,2.13048,2.2548,352622677.99962
2024-12-24,2.2557,2.34865,2.21055,2.32443,267160199.67264
2024-12-25,2.32483,2.33171,2.25976,2.29353,172574824.2356
2024-12-26,2.29343,2.31408,2.12659,2.16589,311130163.3206
2024-12-27,2.16519,2.23508,2.11217,2.13897,279282405.12576
2024-12-28,2.13877,2.20352,2.13029,2.19317,129568662.28405
2024-12-29,2.19307,2.19387,2.06697,2.08642,169112588.22302
2024-12-30,2.08602,2.14799,1.99404,2.06114,426908288.2023
2024-12-31,2.05977,2.14579,2.00942,2.07493,270783305.69445
2025-01-01,2.07523,2.3496,2.06984,2.34439,456277603.45932
2025-01-02,2.34609,2.44673,2.30944,2.40315,446103132.54496
2025-01-03,2.40295,2.47796,2.39463,2.45874,284838232.79322
2025-01-04,2.45804,2.50775,2.40054,2.42891,196310784.39849
2025-01-05,2.42891,2.43251,2.32652,2.4024,153765494.49563
2025-01-06,2.4021,2.45788,2.37262,2.4221,143243422.49273
2025-01-07,2.422,2.46738,2.2582,2.29618,251917392.66551
2025-01-08,2.29558,2.39738,2.20241,2.38788,301326142.33855
2025-01-09,2.38778,2.39469,2.23466,2.29086,202971652.12991
2025-01-10,2.29024,2.3696,2.24808,2.34211,168358288.39162
2025-01-11,2.34221,2.60073,2.32447,2.54658,423674381.57979
2025-01-12,2.54748,2.58114,2.46872,2.49468,283358057.45223
2025-01-13,2.49568,2.56176,2.33047,2.52964,464907390.93067
2025-01-14,2.52974,2.69846,2.51164,2.66728,452788737.33648
2025-01-15,2.66688,3.09873,2.64842,3.08219,1069707674.4616
2025-01-16,3.08229,3.39829,2.93099,3.22573,1332737746.1032
2025-01-17,3.22486,3.35263,3.1652,3.27011,663292570.81686
2025-01-18,3.27081,3.31893,3.05843,3.21717,501194641.92783
2025-01-19,3.21687,3.28924,2.94535,3.04741,545025261.8454
2025-01-20,3.04807,3.36392,2.86029,3.13964,697866873.15882
2025-01-21,3.14054,3.23892,3.0107,3.16968,375547730.03579
2025-01-22,3.16943,3.28421,3.13032,3.16334,257492790.68828
